symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
NEXT50IETF,Nifty Next 50,75.14,75.14,74.39,74.9,0.2,0.27,804690,60206905.8,74.6002,76.55,62.6,15-NOV-18, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,6.452529846503705,0.41560530902266024,74.7,0,6.64,1.32,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,0.41560530902266024,15-NOV-18,6.452529846503705,2.155453951665567,-19.648562300319497,https://nsearchives.nseindia.com/today/NEXT50IETFEQN.svg,https://nsearchives.nseindia.com/30d/NEXT50IETF-EQ.svg,https://nsearchives.nseindia.com/365d/NEXT50IETF-EQ.svg,EQ
MOCAPITAL,Nifty Capital Market Total Return Index,56.92,57.11,56.61,57.01,0.28,0.49,990564,56323469.04,56.7021,57.11,40.8,-,-,37.60559980690321,8.818476808551246,56.73,0,37.16,9.75,23-May-2025,24-Apr-2026,-,8.818476808551246,-,37.60559980690321,0.17510068289266578,-39.73039215686275,https://nsearchives.nseindia.com/today/MOCAPITALEQN.svg,https://nsearchives.nseindia.com/30d/MOCAPITAL-EQ.svg,https://nsearchives.nseindia.com/365d/MOCAPITAL-EQ.svg,EQ
GROWWSLVR,Commodity-Silver,26.01,26.01,25.7,25.77,-0.46,-1.75,2179590,56320605.6,26.282,36.3,9.56,06-FEB-26,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,-73.59901649421165,9.102455546147326,26.23,0,-73.2,12.33,23-May-2025,24-Apr-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,9.102455546147326,06-FEB-26,-73.59901649421165,29.008264462809912,-169.56066945606693,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWSLVR-EQ.svg,EQ
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,999.99,1000,999.99,999.99,0,0.00,52948,52947470.52,1000,1024.98,997.15,-,-,0,0,999.99,0,0,0,23-May-2025,24-Apr-2026,-,0,-,0,2.4380963530995734,-0.28481171338314515,https://nsearchives.nseindia.com/today/LIQUIDEQN.svg,https://nsearchives.nseindia.com/30d/LIQUID-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID-EQ.svg,EQ
GROWWGOLD,Commodity,15.37,15.39,15.27,15.32,-0.09,-0.58,3265453,49994085.43,15.3844,18,9.32,06-FEB-26,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,-83.78664408932161,4.4308111792774385,15.41,0,-83.67,5.33,23-May-2025,24-Apr-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,4.4308111792774385,06-FEB-26,-83.78664408932161,14.88888888888889,-64.37768240343347,https://nsearchives.nseindia.com/today/GROWWGOLDEQN.svg,https://nsearchives.nseindia.com/30d/GROWWGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWGOLD-EQ.svg,EQ
EGOLD,Edelweiss Gold ETF,157.65,157.65,156.35,156.65,-1.25,-0.79,313972,49152316.6,157.2826,184.95,94.6,-,-,62.41575946086055,4.503002001334223,157.9,0,64.48,5.34,23-May-2025,24-Apr-2026,-,4.503002001334223,-,62.41575946086055,15.301432819680986,-65.59196617336154,https://nsearchives.nseindia.com/today/EGOLDEQN.svg,https://nsearchives.nseindia.com/30d/EGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/EGOLD-EQ.svg,EQ
AXISGOLD,Gold,130.96,131.21,130.35,130.7,-0.78,-0.59,365126,47685455.6,131.2745,150,79,23-JUL-20, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RE 1/- PER SHARE,62.683594722429646,4.392971246006379,131.48,0,63.8,5.44,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RE 1/- PER SHARE,4.392971246006379,23-JUL-20,62.683594722429646,12.866666666666674,-65.44303797468353,https://nsearchives.nseindia.com/today/AXISGOLDEQN.svg,https://nsearchives.nseindia.com/30d/AXISGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/AXISGOLD-EQ.svg,EQ
ICICIB22,S&P BSE BHARAT 22 index,122,122.14,120.75,121.68,-0.05,-0.04,389086,47343984.48,121.7477,131,103.6,-,-,10.257339615802833,-3.251967877872298,121.73,0,10.99,-2.6,23-May-2025,24-Apr-2026,-,-3.251967877872298,-,10.257339615802833,7.114503816793888,-17.451737451737465,https://nsearchives.nseindia.com/today/ICICIB22EQN.svg,https://nsearchives.nseindia.com/30d/ICICIB22-EQ.svg,https://nsearchives.nseindia.com/365d/ICICIB22-EQ.svg,EQ
AUTOBEES,Nifty Auto TRI,270.5,272.89,270.5,272,0.55,0.20,173308,47098182.08,271.8234,299.92,234.11,-,-,12.044817927170872,1.44332972811696,271.45,0,13.05,2.82,23-May-2025,24-Apr-2026,-,1.44332972811696,-,12.044817927170872,9.309149106428386,-16.184699500234924,https://nsearchives.nseindia.com/today/AUTOBEESEQN.svg,https://nsearchives.nseindia.com/30d/AUTOBEES-EQ.svg,https://nsearchives.nseindia.com/365d/AUTOBEES-EQ.svg,EQ
NIFTYETF,Nifty 50,260.41,260.48,258.36,258.6,-0.9,-0.35,174386,45251423.14,260.0271,289.05,239.81,-,-,-3.2764811490125636,-0.6263689812857839,259.5,0,-2.27,0.45,23-May-2025,24-Apr-2026,-,-0.6263689812857839,-,-3.2764811490125636,10.53450960041515,-7.835369667653567,https://nsearchives.nseindia.com/today/NIFTYETFEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYETF-EQ.svg,EQ
