NAV,AUM,Expense_Ratio,Sctr_Expense_Ratio,Tracking_Error,Asset_Tracking_Error,Sector,ETFname,URL
—,  107.64cr,0.0005,0.0022,0.0011,0.0027,Nifty Next 50,Aditya Birla Sun Life Nifty Next 50 ETF,https://www.tickertape.in/etfs/aditya-birla-sun-life-nifty-next-50-etf-ADIB
—,"  18,955.88cr",—,0.0022,0.0002,0.0027,SENSEX,UTI Sensex 30 ETF,https://www.tickertape.in/etfs/uti-sensex-30-etf-UTIS
192.25,  28.19cr,0.0047,0.0022,0.0003,0.0027,Nifty 100,ICICI Prudential Nifty 100 ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-100-etf-ICIC
—,  139.83cr,0.0016,0.0022,0.0006,0.0027,Nifty Bank,Aditya Birla Sun Life Nifty Bank ETF,https://www.tickertape.in/etfs/aditya-birla-sun-life-nifty-bank-etf-ADIL
—,"  3,420.87cr",0.0015,0.0017,—,0.0152,Nifty SDL Apr 2026 Top 20 Equal Weight Index,Nippon India ETF Nifty SDL-2026 Maturity,https://www.tickertape.in/etfs/nippon-india-etf-nifty-sdl-2026-maturity-NETF
—,"  1,300.75cr",0.0043,0.0022,—,0.0027,NYSE FANG+ Total Return Index,Mirae Asset NYSE FANG+ ETF,https://www.tickertape.in/etfs/mirae-asset-nyse-fang-etf-MAFAN
—,"  12,702.81cr",0.0000,0.0017,—,0.0152,Nifty BHARAT Bond,Edelweiss Bharat Bond ETF-April 2030 ETF,https://www.tickertape.in/etfs/edelweiss-bharat-bond-etf-april-2030-etf-BHAB
—,"  6,099.73cr",0.0057,0.0022,—,0.0027,Nasdaq100,Motilal Oswal NASDAQ 100 ETF,https://www.tickertape.in/etfs/motilal-oswal-nasdaq-100-etf-N100
—,  27.92cr,0.0015,0.0022,—,0.0027,S&P BSE Midcap Select Index,ICICI Prudential Sensex Midcap Select ETF,https://www.tickertape.in/etfs/icici-prudential-sensex-midcap-select-etf-ICIU
—,"  10,621.49cr",0.0000,0.0017,—,0.0152,Nifty BHARAT Bond,Edelweiss Bharat Bond ETF-April 2031 ETF,https://www.tickertape.in/etfs/edelweiss-bharat-bond-etf-april-2031-etf-BARE
